,player_id,player_name,markers_pos_x,markers_pos_y,fitness_pos_y,fitness_pos_x,cluster_markers3,center_markers3,cluster_fitness3,center_fitness3,same_center3,dist,cluster_markers4,center_markers4,cluster_fitness4,center_fitness4,same_center4,dist_mean,dist_std
0,4464,Leandro Marcolini Marcolini Pedroso de Almeida,55.782646,39.662395,37.978214,54.115322,61.157325744628906,1,56.90105438232422,1,1,2.3699021,56.23210906982422,1,56.90105438232422,1,1,3.3870673179626465,1.5317503213882446
1,17575,Roland Varga,68.02424,14.416667,17.034006,69.123405,61.157325744628906,1,70.78955078125,2,0,2.838773,67.76109313964844,2,67.1985855102539,2,1,3.3870673179626465,1.5317503213882446
2,24055,Miha Blazic,42.21027,44.866486,43.71605,45.4357,43.45460510253906,0,45.630889892578125,0,1,3.4244561,43.45460510253906,0,45.630889892578125,0,1,3.3870673179626465,1.5317503213882446
3,25818,Daniel Bode,82.573135,33.177612,33.964905,76.40747,77.68492889404297,2,70.78955078125,2,1,6.215726,82.57313537597656,3,74.38052368164062,3,1,3.3870673179626465,1.5317503213882446
4,73727,Kenneth Otigba,44.698936,24.906384,26.075819,45.826084,43.45460510253906,0,45.630889892578125,0,1,1.6242048,43.45460510253906,0,45.630889892578125,0,1,3.3870673179626465,1.5317503213882446
5,101069,Tidjani Amadou Moutari Kalala,72.79672,43.490982,40.048145,72.35357,77.68492889404297,2,70.78955078125,2,1,3.4712405,67.76109313964844,2,74.38052368164062,3,0,3.3870673179626465,1.5317503213882446
6,110918,Endre Botka,53.351723,6.813793,11.943973,54.36632,61.157325744628906,1,56.90105438232422,1,1,5.229546,56.23210906982422,1,56.90105438232422,1,1,3.3870673179626465,1.5317503213882446
7,155286,Marcos Garbellotto Pedroso,63.848064,57.39558,59.100677,59.718513,61.157325744628906,1,56.90105438232422,1,1,4.467723,67.76109313964844,2,56.90105438232422,1,0,3.3870673179626465,1.5317503213882446
8,218255,Fernando Gorriaran Fontes,59.56196,35.751087,34.301796,59.404057,61.157325744628906,1,56.90105438232422,1,1,1.4578676,56.23210906982422,1,56.90105438232422,1,1,3.3870673179626465,1.5317503213882446
9,491646,Joseph Martin Paintsil,66.375336,45.133335,42.590443,65.273766,61.157325744628906,1,70.78955078125,2,0,2.7712376,67.76109313964844,2,67.1985855102539,2,1,3.3870673179626465,1.5317503213882446
