,player_id,player_name,markers_pos_x,markers_pos_y,fitness_pos_y,fitness_pos_x,cluster_markers3,center_markers3,cluster_fitness3,center_fitness3,same_center3,dist,cluster_markers4,center_markers4,cluster_fitness4,center_fitness4,same_center4,dist_mean,dist_std
0,5439,Adam Bodi,63.978333,39.095,40.679085,63.04945,67.34695434570312,2,66.94737243652344,2,1,1.8363397,62.66655731201172,2,60.87235641479492,2,1,3.4130680561065674,1.8022797107696533
1,8741,Norbert Meszaros,43.32623,38.780327,38.482624,40.706898,46.53778839111328,0,42.040550231933594,0,1,2.636195,46.53778839111328,0,42.040550231933594,0,1,3.4130680561065674,1.8022797107696533
2,18634,Daniel Tozser,55.504066,34.92195,35.48269,52.958633,56.879974365234375,1,54.49005126953125,1,1,2.6064644,55.388370513916016,1,53.088314056396484,1,1,3.4130680561065674,1.8022797107696533
3,25912,Aleksandar Jovanovic,61.354782,26.170435,27.560474,58.695263,56.879974365234375,1,54.49005126953125,1,1,3.0008752,62.66655731201172,2,60.87235641479492,2,1,3.4130680561065674,1.8022797107696533
4,25966,Janos Ferenczi,54.6567,55.02165,52.06519,53.63066,56.879974365234375,1,54.49005126953125,1,1,3.129442,55.388370513916016,1,53.088314056396484,1,1,3.4130680561065674,1.8022797107696533
5,51069,Norbert Konyves,68.42113,25.80845,25.114868,68.8536,67.34695434570312,2,66.94737243652344,2,1,0.8173671,68.46983337402344,3,68.2466812133789,3,1,3.4130680561065674,1.8022797107696533
6,69196,Balazs Benyei,56.00435,13.923478,16.337132,52.675644,56.879974365234375,1,54.49005126953125,1,1,4.1116905,55.388370513916016,1,53.088314056396484,1,1,3.4130680561065674,1.8022797107696533
7,91099,Akos Kinyik,49.74935,23.248053,26.816305,43.374203,46.53778839111328,0,42.040550231933594,0,1,7.305816,46.53778839111328,0,42.040550231933594,0,1,3.4130680561065674,1.8022797107696533
8,100318,Justin Junior Mengolo,69.68939,32.13788,35.644066,70.46227,67.34695434570312,2,66.94737243652344,2,1,3.5903614,68.46983337402344,3,68.2466812133789,3,1,3.4130680561065674,1.8022797107696533
9,228187,Kevin Varga,67.29898,35.442856,40.181595,65.42418,67.34695434570312,2,66.94737243652344,2,1,5.0961285,68.46983337402344,3,68.2466812133789,3,1,3.4130680561065674,1.8022797107696533
