,player_id,player_name,markers_pos_x,markers_pos_y,fitness_pos_y,fitness_pos_x,cluster_markers3,center_markers3,cluster_fitness3,center_fitness3,same_center3,dist,cluster_markers4,center_markers4,cluster_fitness4,center_fitness4,same_center4,dist_mean,dist_std
0,883,Danko Lazovic,73.07619,31.62262,33.94311,70.461266,74.44721984863281,2,73.42084503173828,2,1,3.4960687,72.64137268066406,2,73.42084503173828,3,0,4.466236114501953,2.250659942626953
1,8418,Marko Scepovic,78.05891,44.780823,38.352642,74.750145,74.44721984863281,2,73.42084503173828,2,1,7.2297587,78.05890655517578,3,73.42084503173828,3,1,4.466236114501953,2.250659942626953
2,8491,Roland Juhasz,44.54944,22.501686,25.986156,42.67453,44.38795852661133,0,45.00644302368164,0,1,3.9568694,44.38795852661133,0,42.37436294555664,0,1,4.466236114501953,2.250659942626953
3,9544,Anel Hadzic,47.10503,37.71132,34.374172,50.270607,44.38795852661133,0,45.00644302368164,0,1,4.59972,44.38795852661133,0,50.270606994628906,1,0,4.466236114501953,2.250659942626953
4,14050,Loic Nego,63.33262,10.888235,13.920743,58.314804,59.66590118408203,1,61.34803009033203,1,1,5.8629827,59.66590118408203,1,61.34803009033203,2,0,4.466236114501953,2.250659942626953
5,19915,Ianique dos Santos Tavares,59.99392,57.995945,57.73904,61.399876,59.66590118408203,1,61.34803009033203,1,1,1.4292351,59.66590118408203,1,61.34803009033203,2,0,4.466236114501953,2.250659942626953
6,25821,Attila Fiola,41.509407,49.418316,47.98269,42.074196,44.38795852661133,0,45.00644302368164,0,1,1.5427285,44.38795852661133,0,42.37436294555664,0,1,4.466236114501953,2.250659942626953
7,28275,Stefan Scepovic,72.20656,33.591805,35.26166,75.051125,74.44721984863281,2,73.42084503173828,2,1,3.2984815,72.64137268066406,2,73.42084503173828,3,0,4.466236114501953,2.250659942626953
8,37007,Mate Patkai,56.92015,53.41791,48.083084,63.413982,59.66590118408203,1,61.34803009033203,1,1,8.40418,59.66590118408203,1,61.34803009033203,2,0,4.466236114501953,2.250659942626953
9,97713,Boban Nikolov,58.416912,20.450735,23.3922,62.263466,59.66590118408203,1,61.34803009033203,1,1,4.842334,59.66590118408203,1,61.34803009033203,2,0,4.466236114501953,2.250659942626953
