,player_id,player_name,markers_pos_x,markers_pos_y,fitness_pos_y,fitness_pos_x,cluster_markers3,center_markers3,cluster_fitness3,center_fitness3,same_center3,dist,cluster_markers4,center_markers4,cluster_fitness4,center_fitness4,same_center4,dist_mean,dist_std
0,4464,Leandro Marcolini Marcolini Pedroso de Almeida,53.70974,38.31948,36.211548,53.444225,56.85164260864258,1,55.860633850097656,1,1,2.1245892,56.85164260864258,1,55.860633850097656,1,1,5.140120506286621,2.890434741973877
1,17575,Roland Varga,79.955055,22.465168,19.869589,70.680916,70.15155029296875,2,70.27996063232422,2,1,9.630508,79.9550552368164,3,68.76780700683594,2,0,5.140120506286621,2.890434741973877
2,22726,Stefan Spirovski,57.562263,30.29434,31.531979,57.172497,56.85164260864258,1,55.860633850097656,1,1,1.297562,56.85164260864258,1,55.860633850097656,1,1,5.140120506286621,2.890434741973877
3,24055,Miha Blazic,40.603497,44.35734,40.941723,43.818798,41.98103332519531,0,44.52522659301758,0,1,4.690908,41.98103332519531,0,44.52522659301758,0,1,5.140120506286621,2.890434741973877
4,25818,Daniel Bode,72.06774,28.622581,32.506752,74.816414,70.15155029296875,2,70.27996063232422,2,1,4.758359,67.70067596435547,2,74.81641387939453,3,0,5.140120506286621,2.890434741973877
5,73727,Kenneth Otigba,43.35857,19.862858,24.04456,45.231655,41.98103332519531,0,44.52522659301758,0,1,4.5820384,41.98103332519531,0,44.52522659301758,0,1,5.140120506286621,2.890434741973877
6,93242,Dominik Nagy,65.24677,40.17903,35.720905,66.103966,70.15155029296875,2,70.27996063232422,2,1,4.5397873,67.70067596435547,2,68.76780700683594,2,1,5.140120506286621,2.890434741973877
7,110918,Endre Botka,67.58889,7.8493824,13.39397,58.80643,70.15155029296875,2,55.860633850097656,1,0,10.386243,67.70067596435547,2,55.860633850097656,1,0,5.140120506286621,2.890434741973877
8,155286,Marcos Garbellotto Pedroso,59.28293,56.28374,53.96359,54.01938,56.85164260864258,1,55.860633850097656,1,1,5.7522225,56.85164260864258,1,55.860633850097656,1,1,5.140120506286621,2.890434741973877
9,491646,Joseph Martin Paintsil,65.89929,48.899296,48.520832,69.51855,70.15155029296875,2,70.27996063232422,2,1,3.6389892,67.70067596435547,2,68.76780700683594,2,1,5.140120506286621,2.890434741973877
