,player_id,player_name,markers_pos_x,markers_pos_y,fitness_pos_y,fitness_pos_x,cluster_markers3,center_markers3,cluster_fitness3,center_fitness3,same_center3,dist,cluster_markers4,center_markers4,cluster_fitness4,center_fitness4,same_center4,dist_mean,dist_std
0,4464,Leandro Marcolini Marcolini Pedroso de Almeida,46.899452,34.112087,34.56585,48.313667,45.36946487426758,0,53.20157241821289,1,0,1.4852287,48.50630569458008,1,51.895416259765625,1,1,3.628972291946411,1.728760004043579
1,17575,Roland Varga,67.65128,14.837179,13.209453,66.250275,67.20376586914062,2,66.4302749633789,2,1,2.147631,67.20376586914062,3,68.63235473632812,3,1,3.628972291946411,1.728760004043579
2,22726,Stefan Spirovski,49.066128,34.153225,33.46332,53.65651,45.36946487426758,0,53.20157241821289,1,0,4.6419363,48.50630569458008,1,51.895416259765625,1,1,3.628972291946411,1.728760004043579
3,24055,Miha Blazic,39.260185,44.51389,43.303905,39.303844,45.36946487426758,0,39.13029479980469,0,1,1.2107713,40.664207458496094,0,39.13029479980469,0,1,3.628972291946411,1.728760004043579
4,25792,Gergo Lovrencsics,49.553333,11.398666,9.181348,52.59163,45.36946487426758,0,53.20157241821289,1,0,3.7613485,48.50630569458008,1,51.895416259765625,1,1,3.628972291946411,1.728760004043579
5,73727,Kenneth Otigba,42.06823,25.602083,26.602253,38.95675,45.36946487426758,0,39.13029479980469,0,1,3.2682798,40.664207458496094,0,39.13029479980469,0,1,3.628972291946411,1.728760004043579
6,89734,Balazs Lovrencsics,66.75625,30.985,32.768784,71.014435,67.20376586914062,2,66.4302749633789,2,1,4.616712,67.20376586914062,3,68.63235473632812,3,1,3.628972291946411,1.728760004043579
7,110918,Endre Botka,57.895504,39.16517,35.65624,53.019855,57.94423294067383,1,53.20157241821289,1,1,6.007041,57.94423294067383,2,51.895416259765625,1,0,3.628972291946411,1.728760004043579
8,218255,Fernando Gorriaran Fontes,55.902084,42.03021,40.32108,58.4262,57.94423294067383,1,53.20157241821289,1,1,3.0483253,57.94423294067383,2,60.22615432739258,2,1,3.628972291946411,1.728760004043579
9,491646,Joseph Martin Paintsil,60.035114,48.24962,42.4811,62.026108,57.94423294067383,1,66.4302749633789,2,0,6.1024485,57.94423294067383,2,60.22615432739258,2,1,3.628972291946411,1.728760004043579
