,player_id,player_name,markers_pos_x,markers_pos_y,fitness_pos_y,fitness_pos_x,cluster_markers3,center_markers3,cluster_fitness3,center_fitness3,same_center3,dist,cluster_markers4,center_markers4,cluster_fitness4,center_fitness4,same_center4,dist_mean,dist_std
0,4464,Leandro Marcolini Marcolini Pedroso de Almeida,46.583332,34.785,34.560097,47.163647,44.1751823425293,0,53.068389892578125,1,0,0.6223717,48.620452880859375,1,50.515262603759766,1,1,4.0683488845825195,2.0754313468933105
1,17575,Roland Varga,65.44667,21.55,21.077679,62.27064,69.41064453125,2,66.7862319946289,2,1,3.2109573,69.41064453125,3,58.688934326171875,2,0,4.0683488845825195,2.0754313468933105
2,22726,Stefan Spirovski,60.031868,34.08022,29.230837,56.23697,59.392364501953125,1,53.068389892578125,1,1,6.1577406,59.392364501953125,2,58.688934326171875,2,1,4.0683488845825195,2.0754313468933105
3,24055,Miha Blazic,38.787098,48.2371,44.26636,39.050655,44.1751823425293,0,39.0496711730957,0,1,3.9794748,39.72991180419922,0,39.0496711730957,0,1,4.0683488845825195,2.0754313468933105
4,25792,Gergo Lovrencsics,60.56262,13.699065,15.43386,53.109505,59.392364501953125,1,53.068389892578125,1,1,7.652347,59.392364501953125,2,50.515262603759766,1,0,4.0683488845825195,2.0754313468933105
5,25818,Daniel Bode,72.86709,32.735443,31.79653,71.664696,69.41064453125,2,66.7862319946289,2,1,1.5255511,69.41064453125,3,69.04402160644531,3,1,4.0683488845825195,2.0754313468933105
6,73727,Kenneth Otigba,40.672726,20.48182,25.68351,39.048687,44.1751823425293,0,39.0496711730957,0,1,5.44932,39.72991180419922,0,39.0496711730957,0,1,4.0683488845825195,2.0754313468933105
7,101069,Tidjani Amadou Moutari Kalala,69.91818,46.947475,43.948555,66.423355,69.41064453125,2,66.7862319946289,2,1,4.6051426,69.41064453125,3,69.04402160644531,3,1,4.0683488845825195,2.0754313468933105
8,155286,Marcos Garbellotto Pedroso,50.657578,58.845455,54.977596,51.272633,44.1751823425293,0,53.068389892578125,1,0,3.9164557,48.620452880859375,1,50.515262603759766,1,1,4.0683488845825195,2.0754313468933105
9,218255,Fernando Gorriaran Fontes,57.582607,46.286232,42.72218,57.559196,59.392364501953125,1,53.068389892578125,1,1,3.5641296,59.392364501953125,2,58.688934326171875,2,1,4.0683488845825195,2.0754313468933105
